,0,1,2
0,OURVOTESCOUNT,CALLAN LISA M,5355.62
1,OURVOTESCOUNT,DAS MONA,10675.55
2,OURVOTESCOUNT,ENTENMAN DEBRA J,10675.56
3,OURVOTESCOUNT,KILDUFF CHRISTINE J,15410.75
4,OURVOTESCOUNT,KRUGER LEAVITT MARI L,15410.75
5,OURVOTESCOUNT,PELLICCIOTTI MICHAEL J,7131.119999999999
6,OURVOTESCOUNT,RAMOS BILL G,5355.62
7,OURVOTESCOUNT,REEVES KRISTINE M,7131.129999999999
8,OURVOTESCOUNT,SULLIVAN PATRICK J,10181.699999999999
9,OURVOTESCOUNT,WILSON CLAIRE E,6999.139999999999
10,OURVOTESCOUNT,OURVOTESCOUNT,363577.75
11,MAINSTREAM REPUB OF WA ST PAC,CHAMBERS KELLY M,25490.71
12,MAINSTREAM REPUB OF WA ST PAC,ESPINOZA MAIA L,1000.0
13,MAINSTREAM REPUB OF WA ST PAC,FAIN JOSEPH F,1000.0
14,MAINSTREAM REPUB OF WA ST PAC,GILDON CHRIS,6890.71
15,MAINSTREAM REPUB OF WA ST PAC,GOEHNER KEITH W,1000.0
16,MAINSTREAM REPUB OF WA ST PAC,GRAHAM VIRGINIA C,5899.18
17,MAINSTREAM REPUB OF WA ST PAC,GRAVES PAUL S,9764.24
18,MAINSTREAM REPUB OF WA ST PAC,HAYDEN RANDOLPH J,6395.77
19,MAINSTREAM REPUB OF WA ST PAC,HAYES DAVID J,10600.0
20,MAINSTREAM REPUB OF WA ST PAC,HOFF LARRY A,1000.0
21,MAINSTREAM REPUB OF WA ST PAC,KUDERER PATRICIA E,-5219.62
22,MAINSTREAM REPUB OF WA ST PAC,KUNEY MARY L,1000.0
23,MAINSTREAM REPUB OF WA ST PAC,MAGENDANZ CHAD L,54612.869999999995
24,MAINSTREAM REPUB OF WA ST PAC,MILOSCIA MARK A,24048.39
25,MAINSTREAM REPUB OF WA ST PAC,MURI RICHARD W,1000.0
26,MAINSTREAM REPUB OF WA ST PAC,ROULSTONE DOUGLAS R,18391.29
27,MAINSTREAM REPUB OF WA ST PAC,RUDE SKYLER D,6727.65
28,MAINSTREAM REPUB OF WA ST PAC,THURSTON CO REPUB CENT COMM NON EXEMPT,60.0
29,MAINSTREAM REPUB OF WA ST PAC,TOM RODNEY,34503.979999999996
30,MAINSTREAM REPUB OF WA ST PAC,WAGONER KEITH L,22395.77
31,MAINSTREAM REPUB OF WA ST PAC,WALSH JAMES W,27680.47
32,ANHEUSER BUSCH CO.,AGAINST 1631,0.26625078279700426
33,ANHEUSER BUSCH CO.,AGAINST 1639,0.15323410009296834
34,ANHEUSER BUSCH CO.,AGAINST 940,0.2663013487468213
35,ANHEUSER BUSCH CO.,AGUILAR EVANGELINA,4.236159378617098
36,ANHEUSER BUSCH CO.,AMETU RION A,0.39259320251529284
37,ANHEUSER BUSCH CO.,ANDREWS PAUL D,1.393391670221629
38,ANHEUSER BUSCH CO.,ANGEL JANICE E,2006.5307172134262
39,ANHEUSER BUSCH CO.,APPLEBY MICHAEL A,0.11084208838336283
40,ANHEUSER BUSCH CO.,APPLETON SHERRY V,0.12647137616666357
41,ANHEUSER BUSCH CO.,ARAGON SOFIA A,0.3950978708145922
42,ANHEUSER BUSCH CO.,BAILEY BRENNAN F,0.15482129669129213
43,ANHEUSER BUSCH CO.,BALLEW TIMOTHY J II,0.3864833298457898
44,ANHEUSER BUSCH CO.,BARKIS ANDREW K,2000.0
45,ANHEUSER BUSCH CO.,BAUMGARTNER MICHAEL J,4003.4019970122126
46,ANHEUSER BUSCH CO.,BELL MICHAEL R,0.39055477117214005
47,ANHEUSER BUSCH CO.,BIGEA PETRONELA,0.1344945498808343
48,ANHEUSER BUSCH CO.,BLAKE BRIAN E,2001.020356048299
49,ANHEUSER BUSCH CO.,BLODGETT DEBRA F,0.5009928011668989
50,ANHEUSER BUSCH CO.,BONEAU JUSTIN C,4.901250988156067
51,ANHEUSER BUSCH CO.,BOSWELL MARK M,0.8050707427947192
52,ANHEUSER BUSCH CO.,BOWLING IRENE R,46.24246968586396
